id,tipo,path,metodo,contesto,ruolo,livello,stato,evidenza,note
8a4f97f3,endpoint,/api/v1/admin/access-requests,GET,Administration,admin,L2,✅ verificato,200; elenca la richiesta appena creata,
2ac1c743,endpoint,/api/v1/admin/access-requests/{id:guid},GET,Administration,admin,L2,✅ verificato,admin 404 · utente 403 — admin 404: risorsa assente  non un difetto di per sé,
99a57303,endpoint,/api/v1/admin/access-requests/{id:guid}/approve,POST,Administration,admin,L2,✅ verificato,200 approved; DB Approved+reviewed_at+invitation_id; email You ve been invited,
0b573050,endpoint,/api/v1/admin/access-requests/{id:guid}/reject,POST,Administration,admin,L2,⬜ non coperto,,
aa3e082e,endpoint,/api/v1/admin/access-requests/bulk-approve,POST,Administration,admin,L2,⬜ non coperto,,
e75f8122,endpoint,/api/v1/admin/access-requests/stats,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
b5848e28,endpoint,/api/v1/admin/activity,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
7d67e593,endpoint,/api/v1/admin/alert-templates,GET,Administration,user,L2,✅ verificato,admin 200 · utente 200 — endpoint self-service,
936684b1,endpoint,/api/v1/admin/alert-test,POST,Administration,user,L2,⬜ non coperto,,
baae8a42,endpoint,/api/v1/admin/analysis/{id:guid}/compare/{otherId:guid},GET,Administration,admin,L1,⬜ non coperto,,
ba4bddf7,endpoint,/api/v1/admin/analytics,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
75b5b5b9,endpoint,/api/v1/admin/analytics/ai-usage,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
dcb32725,endpoint,/api/v1/admin/analytics/api-requests,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
10fa14d7,endpoint,/api/v1/admin/analytics/chat,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
62d8b2c5,endpoint,/api/v1/admin/analytics/export,POST,Administration,admin,L2,⬜ non coperto,,
abc24427,endpoint,/api/v1/admin/analytics/mau,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
c2f8b21e,endpoint,/api/v1/admin/analytics/model-performance,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
810a579c,endpoint,/api/v1/admin/analytics/overview,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
f52fc0fc,endpoint,/api/v1/admin/analytics/pdf,GET,Administration,admin,L2,⚠️ finding da aprire,admin 500 · utente 403 — admin riceve 500,
b58469c0,endpoint,/api/v1/admin/cache/games/{gameId:guid},DELETE,Administration,admin,L2,⬜ non coperto,,
9226c616,endpoint,/api/v1/admin/cache/stats,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
294b520d,endpoint,/api/v1/admin/cache/tags/{tag},DELETE,Administration,admin,L2,⬜ non coperto,,
ee6bab07,endpoint,/api/v1/admin/chat-analytics/,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
964c26a6,endpoint,/api/v1/admin/circuit-breakers/,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
dffa13f8,endpoint,/api/v1/admin/dashboard/stats,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
2ff9e67a,endpoint,/api/v1/admin/docker/containers,GET,Administration,admin,L2,✅ verificato,admin 200 · utente 403,
efd4ed8a,endpoint,/api/v1/admin/docker/containers/{containerId}/logs,GET,Administration,admin,L1,⬜ non coperto,,
a9cfc1ec,endpoint,/api/v1/admin/event-outbox/{id:guid}/retry,POST,Administration,user,L2,⬜ non coperto,,auth non dedotta: leggere il codice
ea5e6ff0,endpoint,/api/v1/admin/event-outbox/failed,GET,Administration,user,L2,✅ verificato,403 corretto per utente semplice: endpoint admin  era il tracker a classificarlo self-service,auth non dedotta: leggere il codice
